model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
LLAMA-65B,4,64,64,1,1,0,1,300,0.03911834901024849,2.386634844868735e-05,0.013653333333333335,0.013653333333333335,4096,8192,0,0.0,0.02730666666666667,0.03911834901024849,0.088435,0.14307219968178203,0.02730666666666667,0.0,0.2734168419668856,"{""scan-N1-H4-Q1"": 1}",0.088435,0.14307219968178203,0.02730666666666667,0.0,0.2734168419668856,"{""scan-N1-H4-Q1"": 1}"
LLAMA-65B,4,64,64,1,2,0,2,300,0.07884318405166363,9.54653937947494e-05,0.02730666666666667,0.02730666666666667,8192,16384,0,0.0,0.05461333333333334,0.07884318405166363,0.17687,0.2861921320604614,0.05461333333333334,0.0,0.27549039690234073,"{""scan-N2-H4-Q1"": 2}",0.153031,0.2623531320604614,0.05461333333333334,0.0,0.30052312862609004,"{""scan-N2-H4-Q2"": 1}"
LLAMA-65B,4,64,64,1,4,0,4,300,0.16011231222799382,0.0003818615751789976,0.05461333333333334,0.05461333333333334,16384,32768,0,0.0,0.10922666666666668,0.16011231222799382,0.35374,0.5725751949085124,0.10922666666666668,0.0,0.279635432431852,"{""scan-N4-H4-Q1"": 4}",0.30221699999999996,0.5210521949085123,0.10922666666666668,0.0,0.3072865133139047,"{""scan-N4-H4-Q4"": 1}"
LLAMA-65B,4,64,64,1,8,0,8,300,0.3299284009546539,0.0015274463007159903,0.10922666666666668,0.10922666666666668,32768,65536,0,0.0,0.21845333333333336,0.3299284009546539,0.7074800000000001,1.1459141129673829,0.21845333333333336,0.0,0.2879172158027562,"{""scan-N8-H4-Q1"": 8}",0.6021270000000001,1.0405611129673829,0.21845333333333336,0.0,0.31706777895417637,"{""scan-N8-H4-Q8"": 1}"
LLAMA-65B,4,64,64,1,12,0,12,300,0.5094482661799804,0.003436754176610978,0.16384,0.16384,49152,98304,0,0.0,0.32768,0.5094482661799804,1.0612200000000003,1.7200167541766112,0.32768,0.0,0.29618796732236385,"{""scan-N12-H4-Q1"": 12}",0.904344,1.563140754176611,0.32768,0.0,0.32591323898296914,"{""scan-N12-H4-Q4"": 1, ""scan-N12-H4-Q8"": 1}"
LLAMA-65B,4,64,64,1,16,0,16,300,0.698671907903973,0.006109785202863961,0.21845333333333336,0.21845333333333336,65536,131072,0,0.0,0.4369066666666667,0.698671907903973,1.4149600000000004,2.2948831185361978,0.4369066666666667,0.0,0.30444770901867296,"{""scan-N16-H4-Q1"": 16}",1.2042540000000002,2.0841771185361977,0.4369066666666667,0.0,0.3352267432984192,"{""scan-N16-H4-Q8"": 2}"
LLAMA-65B,4,64,64,1,24,0,24,300,1.1062305208479575,0.013747016706443913,0.32768,0.32768,98304,196608,0,0.0,0.65536,1.1062305208479575,2.4177359999999988,3.7422030167064424,0.65536,0.0,0.29560943538054335,"{""scan-N24-H4-Q1"": 24}",1.861749,3.1862160167064437,0.65536,0.0,0.3471925679387726,"{""scan-N24-H4-Q8"": 3}"
LLAMA-65B,4,64,64,1,32,0,32,300,1.5526042397866067,0.024439140811455845,0.4369066666666667,0.4369066666666667,131072,262144,0,0.0,0.8738133333333334,1.5526042397866067,3.223647999999998,4.995713807478121,0.8738133333333334,0.0,0.3107872667690655,"{""scan-N32-H4-Q1"": 32}",2.482332,4.254397807478123,0.8738133333333334,0.0,0.36494101164153786,"{""scan-N32-H4-Q8"": 4}"
LLAMA-65B,4,64,64,1,48,0,48,300,2.561796995647901,0.05498806682577565,0.65536,0.65536,196608,393216,0,0.0,1.31072,2.561796995647901,5.647536000000002,8.323964066825779,1.31072,0.0,0.30776165959889884,"{""scan-N48-H4-Q1"": 48}",3.834234,6.510662066825776,1.31072,0.0,0.3934771870131613,"{""scan-N48-H4-Q8"": 6}"
LLAMA-65B,4,64,64,1,64,0,64,300,3.7262501754878565,0.09775656324582338,0.8738133333333334,0.8738133333333334,262144,524288,0,0.0,1.7476266666666669,3.7262501754878565,8.711231999999997,12.304241896579155,1.7476266666666669,0.0,0.3028427274762726,"{""scan-N64-H4-Q1"": 64}",5.25996,8.852969896579157,1.7476266666666669,0.0,0.42090396996918544,"{""scan-N64-H4-Q8"": 8}"
LLAMA-65B,4,64,64,1,96,0,96,300,6.520937807103748,0.2199522673031026,1.31072,1.31072,393216,786432,0,0.0,2.62144,6.520937807103748,16.610400000000038,22.07323226730314,2.62144,0.0,0.29542287817825164,"{""scan-N96-H4-Q1"": 96}",8.332884,13.795716267303103,2.62144,0.0,0.47267845182920054,"{""scan-N96-H4-Q8"": 12}"
LLAMA-65B,4,64,64,1,128,0,128,300,9.936667134634284,0.3910262529832935,1.7476266666666669,1.7476266666666669,524288,1048576,0,0.0,3.4952533333333338,9.936667134634284,26.871936,34.25346891964996,3.4952533333333338,0.0,0.29009228694306,"{""scan-N128-H4-Q1"": 128}",11.701103999999996,19.082636919649957,3.4952533333333338,0.0,0.5207177171831113,"{""scan-N128-H4-Q8"": 16}"
LLAMA-65B,4,64,64,1,192,0,192,300,18.63125087743928,0.8798090692124104,2.62144,2.62144,786432,1572864,0,0.0,5.24288,18.63125087743928,54.48211199999979,65.8476810692122,5.24288,0.0,0.2829446773965519,"{""scan-N192-H4-Q1"": 192}",19.434168,30.79973706921241,5.24288,0.0,0.6049159067680219,"{""scan-N192-H4-Q8"": 24}"
LLAMA-65B,4,64,64,1,256,0,256,300,29.810001403902852,1.564105011933174,3.4952533333333338,3.4952533333333338,1048576,2097152,0,0.0,6.9905066666666675,29.810001403902852,91.54176000000005,107.08687834526656,6.9905066666666675,0.0,0.2783721205112569,"{""scan-N256-H4-Q1"": 256}",28.865184000000003,44.41030234526651,6.9905066666666675,0.0,0.671240676817418,"{""scan-N256-H4-Q8"": 32}"
LLAMA-65B,4,64,64,1,384,0,384,300,59.620002807805704,3.5192362768496417,5.24288,5.24288,1572864,3145728,0,0.0,10.48576,59.620002807805704,217.92844799999895,242.4192042768486,10.48576,0.0,0.24593762274592,"{""scan-N384-H4-Q1"": 384}",59.39140800000005,83.8821642768497,10.48576,0.0,0.7107589953334096,"{""scan-N384-H4-Q8"": 48}"
LLAMA-65B,4,64,64,1,512,0,512,300,99.36667134634283,6.256420047732696,6.9905066666666675,6.9905066666666675,2097152,4194304,0,0.0,13.981013333333335,99.36667134634283,366.1670400000002,400.38548671439963,13.981013333333335,0.0,0.24817750553786286,"{""scan-N512-H4-Q1"": 512}",94.44550400000001,128.66395071439936,13.981013333333335,0.0,0.7722961310811223,"{""scan-N512-H4-Q8"": 64}"
LLAMA-65B,4,64,64,1,768,0,768,300,220.09870575017013,14.076945107398567,10.48576,10.48576,3145728,6291456,0,0.0,20.97152,220.09870575017013,832.7347200000063,888.754705107405,20.97152,0.0,0.24764842817183336,"{""scan-N768-H4-Q1"": 768}",194.5262400000002,250.54622510739875,20.97152,0.0,0.8784754416308725,"{""scan-N768-H4-Q8"": 96}"
LLAMA-65B,4,64,64,1,1024,0,1024,300,391.28658800030246,25.025680190930785,13.981013333333335,13.981013333333335,4194304,8388608,0,0.0,27.96202666666667,391.28658800030246,1488.291840000014,1569.241573524278,27.96202666666667,0.0,0.24934757949442563,"{""scan-N1024-H4-Q1"": 1024}",331.8142720000005,412.76400552426463,27.96202666666667,0.0,0.9479668351975531,"{""scan-N1024-H4-Q8"": 128}"
LLAMA-65B,4,64,64,1,1536,0,1536,300,880.3948230006805,56.30778042959427,20.97152,20.97152,6291456,12582912,0,0.0,41.94304,880.3948230006805,3366.374400000111,3506.568260429706,41.94304,0.0,0.2510702081392804,"{""scan-N1536-H4-Q1"": 1536}",718.7504639999975,858.9443244295917,41.94304,0.0,1.0249730954160896,"{""scan-N1536-H4-Q8"": 192}"
