workload,ablation,tier,prefill_s,decode_s,tier_total_s,first_s,last_s,cum_end_s,decode_batches
workload_pipeline_repair_c5k50.json,A1,0,0.07076094544132544,1.1056503046660382,1.1764112501073636,0.07076094544132544,1.1764112501073636,1.1764112501073636,8192
workload_pipeline_repair_c5k50.json,A1,1,0.14436012621925487,1.1086737665854334,1.2530338928046882,1.3207713763266185,2.429445142912052,2.429445142912052,8192
workload_pipeline_repair_c5k50.json,A1,2,0.2305443988595277,0.5553791265029755,0.7859235253625032,2.6599895417715795,3.215368668274555,3.215368668274555,4096
workload_pipeline_repair_c5k50.json,A1,3,0.5071987718992244,1.1228828416102181,1.6300816135094425,3.7225674401737794,4.8454502817839975,4.8454502817839975,8192
workload_pipeline_repair_c5k50.json,A1,4,0.7446114876638603,0.5638894605647247,1.308500948228585,5.590061769447858,6.1539512300125825,6.1539512300125825,4096
workload_pipeline_repair_c5k50.json,A1,5,1.1783632421153767,1.1398454297799878,2.3182086718953645,7.332314472127959,8.472159901907947,8.472159901907947,8192
workload_pipeline_repair_c5k50.json,A1,6,1.8243469742513891,0.5751417631059184,2.3994887373573075,10.296506876159336,10.871648639265254,10.871648639265254,4096
workload_pipeline_repair_c5k50.json,A1,7,2.4846365449326484,1.1665290953627565,3.651165640295405,13.356285184197903,14.52281427956066,14.52281427956066,8192
workload_pipeline_repair_c5k50.json,A1,8,3.3447195602763493,0.5895398923861421,3.9342594526624914,17.86753383983701,18.45707373222315,18.45707373222315,4096
workload_pipeline_repair_c5k50.json,A1,9,4.325176636967157,1.1943720653734715,5.519548702340629,22.782250369190308,23.97662243456378,23.97662243456378,8192
workload_pipeline_repair_c5k50.json,A1,10,5.592019254581601,0.6065459897964018,6.198565244378003,29.56864168914538,30.175187678941782,30.175187678941782,4096
workload_pipeline_repair_c5k50.json,A1,11,2.0861630356806344,0.5690495780058313,2.6552126136864658,32.26135071462242,32.83040029262825,32.83040029262825,4096
